stock_locate,tracking_number,timestamp,order_reference_number,executed_shares,match_number,printable,execution_price
8749,5,0 days 09:30:00.339758425,9898628,114,92543,0,981000
8749,7,0 days 09:30:00.339758425,9896892,80,92545,0,981000
2918,1,0 days 09:30:00.341436519,5674538,110,92734,0,126900
4442,1,0 days 09:30:00.341726310,5675570,4,92815,0,1679700
6922,1,0 days 09:30:00.341860388,7503655,139,92843,0,230000
2099,1,0 days 09:30:00.342498714,7853613,236,93086,0,229500
7120,1,0 days 09:30:00.342793507,7505339,245,93157,0,194800
5671,1,0 days 09:30:00.343494808,4997743,50,93264,0,8700
471,4,0 days 09:30:00.343737489,7852737,1177,93307,0,55500
1925,2,0 days 09:30:00.344035977,7758321,200,93400,0,110800
1925,3,0 days 09:30:00.344035977,7758329,300,93401,0,110800
1925,4,0 days 09:30:00.344035977,7755353,100,93402,0,110800
1925,5,0 days 09:30:00.344035977,7758213,55,93403,0,110800
4352,1,0 days 09:30:00.344205268,79010,251,93443,0,6764
4352,2,0 days 09:30:00.344205268,4025774,1,93444,0,6764
5738,1,0 days 09:30:00.345109826,7503487,221,93615,0,162900
8478,2,0 days 09:30:00.345514463,9635164,2003,93722,0,884900
931,1,0 days 09:30:00.345845399,7643453,200,93785,0,73300
8863,1,0 days 09:30:00.348347350,9064684,1920,94098,0,11600
8874,1,0 days 09:30:00.348776413,9895940,113,94161,0,67700
6250,1,0 days 09:30:00.354380286,7261655,1000,95662,0,344900
7553,1,0 days 09:30:00.354518793,9897720,186,95679,0,845800
6720,1,0 days 09:30:00.355099744,5923095,4000,95722,0,8000
6651,2,0 days 09:30:00.355489653,7505231,713,95743,0,183000
1967,1,0 days 09:30:00.356460648,7853657,640,95829,0,146600
4375,2,0 days 09:30:00.358087328,5622414,100,96008,0,528700
6554,1,0 days 09:30:00.360435285,7512671,300,96417,0,741400
2704,1,0 days 09:30:00.361205188,4058522,1,96494,0,7400
2721,2,0 days 09:30:00.362234614,5342314,1218,96678,0,271900
396,1,0 days 09:30:00.362736105,7852293,31,96745,0,1161100
1470,1,0 days 09:30:00.364333513,5659229,60,96928,0,16200
3364,1,0 days 09:30:00.365352169,5671970,41,97242,0,111000
4463,2,0 days 09:30:00.366914110,3594978,400,97758,0,85000
7595,2,0 days 09:30:00.369698635,9953772,398,98302,0,264700
8879,2,0 days 09:30:00.370089133,9898460,168,98317,0,665600
7420,1,0 days 09:30:00.372109591,9489944,2850,98469,0,36000
2656,1,0 days 09:30:00.376703823,5676934,76,98852,0,260600
2151,1,0 days 09:30:00.378627278,7851781,90,98986,0,156100
4852,1,0 days 09:30:00.378659932,7502451,112,98989,0,71200
6637,3,0 days 09:30:00.379646362,4842467,750,99077,0,60500
6869,1,0 days 09:30:00.380241669,5652599,287,99122,0,69700
6869,2,0 days 09:30:00.380241669,6129935,1,99123,0,69700
1563,1,0 days 09:30:00.381489110,7851753,83,99219,0,86500
8591,1,0 days 09:30:00.381785522,9895632,147,99247,0,137000
5403,1,0 days 09:30:00.382192819,7505091,7,99271,0,425000
4901,1,0 days 09:30:00.382367192,7503155,316,99283,0,73900
2149,1,0 days 09:30:00.382767291,7646461,593,99309,0,160800
6199,3,0 days 09:30:00.383668843,5563159,784,99363,0,385000
5922,1,0 days 09:30:00.385688725,7504087,1081,99501,0,69500
7184,1,0 days 09:30:00.386801259,7503127,276,99583,0,84900
1005,2,0 days 09:30:00.386932840,8012037,300,99609,1,182400
5898,1,0 days 09:30:00.387360310,4975619,4,99658,0,37200
8046,1,0 days 09:30:00.387589464,9896408,152,99675,0,220800
4468,2,0 days 09:30:00.393439810,5811990,215,100231,1,422000
5506,1,0 days 09:30:00.394957526,3105879,102,100366,0,251800
5506,3,0 days 09:30:00.394957526,4635,300,100368,0,251800
594,1,0 days 09:30:00.396190955,7852473,147,100594,0,283300
4142,1,0 days 09:30:00.396644535,5675022,88,100661,0,882700
1937,1,0 days 09:30:00.397188447,7854693,47,100731,0,639400
8292,1,0 days 09:30:00.397522727,9953044,900,100766,0,13600
8292,2,0 days 09:30:00.397522727,9953080,200,100767,0,13600
8292,4,0 days 09:30:00.397522727,9801720,3000,100769,0,13600
7891,1,0 days 09:30:00.398650178,8067156,100,100878,0,5115
7891,2,0 days 09:30:00.398650178,5736004,100,100879,0,5115
7891,3,0 days 09:30:00.398650178,8165200,5,100880,0,5115
295,1,0 days 09:30:00.399057988,7854753,460,100919,0,204100
980,1,0 days 09:30:00.399448033,7851685,18,100956,0,209600
8550,1,0 days 09:30:00.400274439,9717324,600,101037,0,256800
415,1,0 days 09:30:00.403760163,7853609,27,101658,0,2585200
6152,1,0 days 09:30:00.407062665,7502863,683,102143,0,50500
6152,2,0 days 09:30:00.407062665,3816323,18,102144,0,50500
8719,1,0 days 09:30:00.409835689,9896244,148,102486,0,191800
7244,1,0 days 09:30:00.413761856,9897736,1088,103239,0,89900
3079,1,0 days 09:30:00.413941368,5671614,209,103274,0,95000
2617,1,0 days 09:30:00.414115492,5670998,136,103308,0,67300
3555,1,0 days 09:30:00.416314292,3660446,400,103652,0,13800
3555,2,0 days 09:30:00.416314292,4230278,517,103653,0,13800
3555,3,0 days 09:30:00.416314292,3595806,500,103654,0,13800
8530,2,0 days 09:30:00.417405879,9968792,117,103789,0,590900
8905,3,0 days 09:30:00.417547378,9895808,898,103815,0,57000
7686,1,0 days 09:30:00.421456182,9518048,365,104008,0,2020
347,1,0 days 09:30:00.422884467,7852141,10,104123,0,187000
8456,1,0 days 09:30:00.423312128,9896920,52,104166,0,1484800
4594,1,0 days 09:30:00.424912610,5671002,79,104312,0,84400
1976,3,0 days 09:30:00.426967873,6090613,5000,104427,0,3860
1439,1,0 days 09:30:00.427553510,5520397,1,104472,0,7900
